Mode,ATE_RMSE,Elapsed_sec
完整预处理（hotpixfilter + voxel_augment）,,91.96888589859009
无热像素过滤,,89.89618301391602
无数据增强,,91.7747745513916
无预处理（仅体素化）,,91.68612289428711
